Team_Name,Average_Age,Average_Age_by_Total_Min,Average_Age_by_USG,Point,Combo,Wing,Forward,Big,date
ATLANTA HAWKS,25.45,24.26,23.93,23.42,25.1,23.73,22.9,25.68,2021-01-07
BOSTON CELTICS,25.09,25.44,25.62,31.18,25.04,23.96,23.59,26.33,2021-01-07
BROOKLYN NETS,27.57,27.98,28.06,28.22,24.97,25.8,28.29,29.76,2021-01-07
CHARLOTTE HORNETS,24.89,24.24,23.24,25.7,23.51,13.81,29.12,24.54,2021-01-07
CHICAGO BULLS,25.44,25.06,24.27,20.7,26.22,30.83,23.51,24.28,2021-01-07
CLEVELAND CAVALIERS,25.34,25.26,25.78,20.8,21.8,24.62,23.9,28.61,2021-01-07
DALLAS MAVERICKS,26.41,27.3,26.55,28.0,26.06,25.17,27.5,29.66,2021-01-07
DENVER NUGGETS,26.34,26.86,26.54,29.6,24.45,27.84,23.17,29.11,2021-01-07
DETROIT PISTONS,25.69,26.1,25.76,25.93,28.5,24.33,24.82,28.04,2021-01-07
GOLDEN STATE WARRIORS,26.54,26.96,27.14,32.6,29.5,26.66,25.7,24.6,2021-01-07
HOUSTON ROCKETS,28.24,29.12,28.39,31.2,29.67,28.2,25.01,30.6,2021-01-07
INDIANA PACERS,27.15,27.23,27.25,24.1,28.12,29.92,28.2,24.6,2021-01-07
LOS ANGELES CLIPPERS,28.64,29.81,29.58,31.74,34.0,28.56,29.54,28.77,2021-01-07
LOS ANGELES LAKERS,28.84,29.44,29.17,27.1,28.64,32.92,25.3,29.83,2021-01-07
MEMPHIS GRIZZLIES,24.72,25.33,25.97,23.48,24.36,23.96,27.1,27.04,2021-01-07
MIAMI HEAT,27.2,27.29,28.14,34.5,24.38,28.27,33.96,24.75,2021-01-07
MILWAUKEE BUCKS,27.33,28.14,28.2,30.96,29.4,25.16,29.05,27.8,2021-01-07
MINNESOTA TIMBERWOLVES,24.41,24.29,24.3,30.0,24.69,23.0,20.2,25.11,2021-01-07
NEW ORLEANS PELICANS,25.92,25.8,24.94,30.9,23.0,29.07,23.2,23.79,2021-01-07
NEW YORK KNICKS,24.5,24.81,24.83,25.21,28.74,24.45,21.2,24.69,2021-01-07
OKLAHOMA CITY THUNDER,24.41,24.68,24.65,22.3,19.4,25.74,18.9,26.57,2021-01-07
ORLANDO MAGIC,25.72,26.24,25.89,21.62,,27.91,26.0,27.14,2021-01-07
PHILADELPHIA 76ERS,26.86,27.55,27.07,24.3,22.71,31.6,23.55,29.07,2021-01-07
PHOENIX SUNS,26.25,26.68,27.15,32.18,,24.62,24.7,26.18,2021-01-07
PORTLAND TRAIL BLAZERS,26.89,28.15,27.96,30.3,29.1,23.58,36.4,28.15,2021-01-07
SACRAMENTO KINGS,26.51,26.37,26.69,22.9,29.2,25.41,28.4,26.82,2021-01-07
SAN ANTONIO SPURS,26.67,26.95,26.8,24.1,31.49,21.23,31.2,30.24,2021-01-07
TORONTO RAPTORS,26.91,28.01,28.62,34.6,26.7,26.07,23.54,28.81,2021-01-07
UTAH JAZZ,28.6,29.26,29.16,33.1,24.2,27.75,32.25,28.52,2021-01-07
WASHINGTON WIZARDS,26.0,26.54,28.16,32.0,30.42,25.79,23.48,25.53,2021-01-07
ATLANTA HAWKS,25.45,24.16,24.08,23.61,,23.49,22.9,25.65,2021-01-12
BOSTON CELTICS,25.08,25.47,25.64,31.28,25.06,24.1,23.65,26.38,2021-01-12
BROOKLYN NETS,27.57,27.82,26.99,27.97,25.51,25.17,28.23,29.67,2021-01-12
CHARLOTTE HORNETS,24.89,24.33,22.91,25.7,26.6,17.06,29.49,24.42,2021-01-12
CHICAGO BULLS,25.44,25.11,24.47,20.7,26.11,30.84,22.96,24.63,2021-01-12
CLEVELAND CAVALIERS,25.49,25.38,26.63,20.8,23.91,23.68,23.9,28.5,2021-01-12
DALLAS MAVERICKS,26.38,27.23,26.61,28.0,25.71,25.19,27.5,29.66,2021-01-12
DENVER NUGGETS,25.06,26.91,26.67,29.38,24.41,27.71,23.34,29.05,2021-01-12
DETROIT PISTONS,25.49,26.25,25.8,26.29,28.5,24.15,25.01,28.27,2021-01-12
GOLDEN STATE WARRIORS,26.54,27.13,27.16,32.6,29.31,26.9,25.7,24.84,2021-01-12
HOUSTON ROCKETS,28.2,29.24,29.33,31.2,29.82,28.31,25.01,30.53,2021-01-12
INDIANA PACERS,26.95,27.2,27.25,24.1,28.09,29.78,28.29,24.64,2021-01-12
