Team_Name,Average_Age,Average_Age_by_Total_Min,Average_Age_by_USG,Point,Combo,Wing,Forward,Big,date
ATLANTA HAWKS,25.66,24.99,24.88,26.1,22.69,24.21,23.7,27.96,2024-11-03
BOSTON CELTICS,28.42,29.49,28.86,26.8,34.4,28.51,26.74,31.41,2024-11-03
BROOKLYN NETS,26.03,26.68,25.89,28.3,30.63,23.04,26.85,26.95,2024-11-03
CHARLOTTE HORNETS,26.3,26.0,25.8,23.2,25.22,28.7,26.6,24.91,2024-11-03
CHICAGO BULLS,25.28,25.96,24.98,22.1,25.13,24.19,26.44,28.98,2024-11-03
CLEVELAND CAVALIERS,27.2,26.96,27.14,24.8,28.2,27.66,29.34,24.95,2024-11-03
DALLAS MAVERICKS,27.78,27.9,26.94,25.7,32.6,30.2,26.8,25.29,2024-11-03
DENVER NUGGETS,27.19,27.46,28.29,36.0,27.53,23.15,24.97,29.66,2024-11-03
DETROIT PISTONS,25.52,26.11,25.4,22.82,23.1,30.47,24.8,26.46,2024-11-03
GOLDEN STATE WARRIORS,28.4,28.12,27.24,36.6,22.74,28.83,22.1,30.4,2024-11-03
HOUSTON ROCKETS,25.03,24.75,23.22,30.7,22.61,21.8,25.72,23.01,2024-11-03
INDIANA PACERS,25.52,26.09,26.27,32.6,24.7,23.82,30.6,25.92,2024-11-03
LOS ANGELES CLIPPERS,28.81,29.85,29.55,35.2,30.6,28.77,27.4,29.01,2024-11-03
LOS ANGELES LAKERS,27.91,28.99,29.3,28.7,28.4,24.55,33.25,29.51,2024-11-03
MEMPHIS GRIZZLIES,25.49,24.9,25.24,25.2,26.45,24.24,24.4,24.88,2024-11-03
MIAMI HEAT,27.96,28.13,27.84,30.64,31.71,25.43,33.53,25.36,2024-11-03
MILWAUKEE BUCKS,27.86,30.88,30.3,34.3,32.16,28.27,23.1,31.97,2024-11-03
MINNESOTA TIMBERWOLVES,28.22,28.2,28.66,37.1,23.2,26.59,21.9,29.52,2024-11-03
NEW ORLEANS PELICANS,26.52,26.59,25.71,26.9,26.98,30.13,26.44,25.0,2024-11-03
NEW YORK KNICKS,26.46,27.86,28.15,28.2,30.2,27.42,27.59,27.89,2024-11-03
OKLAHOMA CITY THUNDER,24.33,24.56,24.49,26.3,21.41,26.99,25.8,22.82,2024-11-03
ORLANDO MAGIC,25.05,25.1,24.31,23.69,20.8,29.8,22.56,26.25,2024-11-03
PHILADELPHIA 76ERS,28.03,28.96,28.0,24.0,38.2,29.37,28.9,28.22,2024-11-03
PHOENIX SUNS,29.24,30.31,30.15,28.64,28.0,30.68,27.49,33.44,2024-11-03
PORTLAND TRAIL BLAZERS,23.99,24.86,24.25,20.7,25.4,23.9,27.47,24.41,2024-11-03
SACRAMENTO KINGS,28.57,28.13,28.24,26.9,24.8,30.28,24.9,28.82,2024-11-03
SAN ANTONIO SPURS,25.71,26.49,25.26,,35.63,23.66,26.73,22.83,2024-11-03
TORONTO RAPTORS,24.64,24.92,25.13,22.3,25.89,22.52,23.77,28.17,2024-11-03
UTAH JAZZ,25.34,25.14,26.01,26.18,,25.7,23.9,24.68,2024-11-03
WASHINGTON WIZARDS,23.95,23.68,24.16,25.26,19.3,20.69,27.0,25.44,2024-11-03
