date,Team_Name,Average_Age
10/22/21,ATLANTA HAWKS,26.51
10/22/21,BOSTON CELTICS,24.36
10/22/21,BROOKLYN NETS,30.1
10/22/21,CHARLOTTE HORNETS,26.6
10/22/21,CHICAGO BULLS,26.37
10/22/21,CLEVELAND CAVALIERS,24.93
10/22/21,DALLAS MAVERICKS,27.9
10/22/21,DENVER NUGGETS,28.47
10/22/21,DETROIT PISTONS,24.91
10/22/21,GOLDEN STATE WARRIORS,28.8
10/22/21,HOUSTON ROCKETS,25.65
10/22/21,INDIANA PACERS,28.36
10/22/21,LOS ANGELES CLIPPERS,28.01
10/22/21,LOS ANGELES LAKERS,32.76
10/22/21,MEMPHIS GRIZZLIES,24.38
10/22/21,MIAMI HEAT,29.76
10/22/21,MILWAUKEE BUCKS,27.85
10/22/21,MINNESOTA TIMBERWOLVES,23.91
10/22/21,NEW ORLEANS PELICANS,25.92
10/22/21,NEW YORK KNICKS,26.49
10/22/21,OKLAHOMA CITY THUNDER,22.65
10/22/21,ORLANDO MAGIC,24.04
10/22/21,PHILADELPHIA 76ERS,27.14
10/22/21,PHOENIX SUNS,28.07
10/22/21,PORTLAND TRAIL BLAZERS,27.77
10/22/21,SACRAMENTO KINGS,26.52
10/22/21,SAN ANTONIO SPURS,24.9
10/22/21,TORONTO RAPTORS,25.7
10/22/21,UTAH JAZZ,29.15
10/22/21,WASHINGTON WIZARDS,26.72
10/24/21,ATLANTA HAWKS,26.51
10/24/21,BOSTON CELTICS,25.7
10/24/21,BROOKLYN NETS,30.7
10/24/21,CHARLOTTE HORNETS,26.7
10/24/21,CHICAGO BULLS,25.96
10/24/21,CLEVELAND CAVALIERS,24.93
10/24/21,DALLAS MAVERICKS,27.9
10/24/21,DENVER NUGGETS,28.47
10/24/21,DETROIT PISTONS,24.97
10/24/21,GOLDEN STATE WARRIORS,28.8
10/24/21,HOUSTON ROCKETS,25.88
10/24/21,INDIANA PACERS,27.49
10/24/21,LOS ANGELES CLIPPERS,28.72
10/24/21,LOS ANGELES LAKERS,31.91
10/24/21,MEMPHIS GRIZZLIES,24.38
10/24/21,MIAMI HEAT,29.32
10/24/21,MILWAUKEE BUCKS,27.85
10/24/21,MINNESOTA TIMBERWOLVES,24.76
10/24/21,NEW ORLEANS PELICANS,25.51
10/24/21,NEW YORK KNICKS,26.04
10/24/21,OKLAHOMA CITY THUNDER,23.6
10/24/21,ORLANDO MAGIC,24.04
10/24/21,PHILADELPHIA 76ERS,27.14
10/24/21,PHOENIX SUNS,28.04
10/24/21,PORTLAND TRAIL BLAZERS,27.77
10/24/21,SACRAMENTO KINGS,26.34
10/24/21,SAN ANTONIO SPURS,25.67
10/24/21,TORONTO RAPTORS,25.7
10/24/21,UTAH JAZZ,28.63
10/24/21,WASHINGTON WIZARDS,26.35
10/25/21,ATLANTA HAWKS,26.51
10/25/21,BOSTON CELTICS,25.7
10/25/21,BROOKLYN NETS,30.24
10/25/21,CHARLOTTE HORNETS,26.7
10/25/21,CHICAGO BULLS,25.96
10/25/21,CLEVELAND CAVALIERS,24.93
10/25/21,DALLAS MAVERICKS,27.9
10/25/21,DENVER NUGGETS,28.47
10/25/21,DETROIT PISTONS,24.97
